Name,ideology,Amt
 Bill Cassidy (R) ,Health,212700
 Bill Nelson (D) ,Health,248199
 Bob Casey (D) ,Health,416403
 Bob Corker (R) ,Health,35500
 Brian Schatz (D) ,Health,14000
 Catherine Cortez Masto (D) ,Health,22000
 Charles E Schumer (D) ,Health,11500
 Chris Coons (D) ,Health,30000
 Chris Van Hollen (D) ,Health,6500
 Christopher S Murphy (D) ,Health,203750
 Chuck Grassley (R) ,Health,20000
 Cindy Hyde-Smith (R) ,Health,29500
 Claire McCaskill (D) ,Health,154700
 Cory Booker (D) ,Health,8500
 Cory Gardner (R) ,Health,75500
 Dan Sullivan (R) ,Health,6000
 David Perdue (R) ,Health,51500
 Dean Heller (R) ,Health,413332
 Deb Fischer (R) ,Health,93500
 Debbie Stabenow (D) ,Health,328050
 Dianne Feinstein (D) ,Health,127500
 Dick Durbin (D) ,Health,18000
 Doug Jones (D) ,Health,31500
 Ed Markey (D) ,Health,45500
 Elizabeth Warren (D) ,Health,4500
 Gary Peters (D) ,Health,28250
 Heidi Heitkamp (D) ,Health,186000
 Jack Reed (D) ,Health,3000
 James E Risch (R) ,Health,4500
 James Lankford (R) ,Health,8500
 James M Inhofe (R) ,Health,5500
 Jeanne Shaheen (D) ,Health,29200
 Jeff Flake (R) ,Health,60000
 Jeff Merkley (D) ,Health,4000
 Jerry Moran (R) ,Health,12500
 Joe Donnelly (D) ,Health,180500
 Joe Manchin (D) ,Health,80500
 John A Barrasso (R) ,Health,390200
 John Boozman (R) ,Health,5500
 John Cornyn (R) ,Health,109309
 John Hoeven (R) ,Health,20500
 John Kennedy (R) ,Health,33500
 John Thune (R) ,Health,67500
 Johnny Isakson (R) ,Health,123000
 Jon Tester (D) ,Health,199750
 Joni Ernst (R) ,Health,5000
 Kamala D Harris (D) ,Health,-6000
 Kirsten Gillibrand (D) ,Health,39250
 Lamar Alexander (R) ,Health,76200
 Lindsey Graham (R) ,Health,24000
 Lisa Murkowski (R) ,Health,60000
 Maggie Hassan (D) ,Health,19500
 Marco Rubio (R) ,Health,38250
 Maria Cantwell (D) ,Health,2500
 Mark Warner (D) ,Health,45000
 Martin Heinrich (D) ,Health,212500
 Mazie K Hirono (D) ,Health,43500
 Michael F Bennet (D) ,Health,29500
 Mike Crapo (R) ,Health,118000
 Mike Enzi (R) ,Health,27000
 Mike Lee (R) ,Health,17000
 Mike Rounds (R) ,Health,12000
 Mitch McConnell (R) ,Health,75613
 Orrin G Hatch (R) ,Health,284099
 Pat Roberts (R) ,Health,44500
 Pat Toomey (R) ,Health,73000
 Patrick Leahy (D) ,Health,4500
 Patty Murray (D) ,Health,128150
 Rand Paul (R) ,Health,7500
 Richard Blumenthal (D) ,Health,14500
 Richard Burr (R) ,Health,24000
 Richard C Shelby (R) ,Health,2500
 Rob Portman (R) ,Health,103900
 Robert Menendez (D) ,Health,180500
 Roger Wicker (R) ,Health,148500
 Ron Johnson (R) ,Health,14000
 Ron Wyden (D) ,Health,107150
 Sheldon Whitehouse (D) ,Health,65906
 Shelley Moore Capito (R) ,Health,34500
 Sherrod Brown (D) ,Health,237200
 Steven Daines (R) ,Health,15500
 Susan Collins (R) ,Health,103500
 Tammy Baldwin (D) ,Health,141800
 Tammy Duckworth (D) ,Health,41000
 Ted Cruz (R) ,Health,45500
 Thom Tillis (R) ,Health,90000
 Tim Kaine (D) ,Health,231950
 Tim Scott (R) ,Health,87500
 Tina Smith (D) ,Health,53500
 Todd Young (R) ,Health,46150
 Tom Carper (D) ,Health,207910
 Tom Cotton (R) ,Health,7000
 Tom Udall (D) ,Health,2500
 Amy Klobuchar (D) ,Policy,352407
 Angus King (I) ,Policy,184069
 Ben Cardin (D) ,Policy,215050
 Ben Sasse (R) ,Policy,5861
 Bernie Sanders (I) ,Policy,49512
 Bill Cassidy (R) ,Policy,3861
 Bill Nelson (D) ,Policy,12174145
 Bob Casey (D) ,Policy,456099
 Bob Corker (R) ,Policy,69608
 Brian Schatz (D) ,Policy,0
 Catherine Cortez Masto (D) ,Policy,57311
 Charles E Schumer (D) ,Policy,3000
 Chris Coons (D) ,Policy,1000
 Chris Van Hollen (D) ,Policy,0
 Christopher S Murphy (D) ,Policy,242030
 Chuck Grassley (R) ,Policy,864
 Cindy Hyde-Smith (R) ,Policy,215561
 Claire McCaskill (D) ,Policy,5442998
 Cory Booker (D) ,Policy,11300
 Cory Gardner (R) ,Policy,14571
 Dan Sullivan (R) ,Policy,7111
 David Perdue (R) ,Policy,18761
 Dean Heller (R) ,Policy,2491987
 Deb Fischer (R) ,Policy,351436
 Debbie Stabenow (D) ,Policy,420776
 Dianne Feinstein (D) ,Policy,288584
 Dick Durbin (D) ,Policy,1500
 Doug Jones (D) ,Policy,5561661
 Ed Markey (D) ,Policy,2500
 Elizabeth Warren (D) ,Policy,451382
 Gary Peters (D) ,Policy,2000
 Heidi Heitkamp (D) ,Policy,1524905
 Jack Reed (D) ,Policy,500
 James E Risch (R) ,Policy,1861
 James Lankford (R) ,Policy,4861
 James M Inhofe (R) ,Policy,4851
 Jeanne Shaheen (D) ,Policy,1000
 Jeff Flake (R) ,Policy,184080
 Jeff Merkley (D) ,Policy,0
 Jerry Moran (R) ,Policy,7361
 Joe Donnelly (D) ,Policy,4468131
 Joe Manchin (D) ,Policy,4270331
 John A Barrasso (R) ,Policy,316961
 John Boozman (R) ,Policy,861
 John Cornyn (R) ,Policy,5361
 John Hoeven (R) ,Policy,5398
 John Kennedy (R) ,Policy,3861
 John Thune (R) ,Policy,861
 Johnny Isakson (R) ,Policy,861
 Jon Tester (D) ,Policy,1609652
 Joni Ernst (R) ,Policy,5361
 Kamala D Harris (D) ,Policy,-7356
 Kirsten Gillibrand (D) ,Policy,310705
 Lamar Alexander (R) ,Policy,-1139
 Lindsey Graham (R) ,Policy,25761
 Lisa Murkowski (R) ,Policy,7061
 Maggie Hassan (D) ,Policy,2093
 Marco Rubio (R) ,Policy,4761
 Maria Cantwell (D) ,Policy,3256
 Mark Warner (D) ,Policy,13000
 Martin Heinrich (D) ,Policy,342723
 Mazie K Hirono (D) ,Policy,240500
 Michael F Bennet (D) ,Policy,2750
 Mike Crapo (R) ,Policy,4361
 Mike Enzi (R) ,Policy,861
 Mike Lee (R) ,Policy,26016
 Mike Rounds (R) ,Policy,611
 Mitch McConnell (R) ,Policy,28444
 Orrin G Hatch (R) ,Policy,164561
 Pat Roberts (R) ,Policy,5861
 Pat Toomey (R) ,Policy,17187
 Patrick Leahy (D) ,Policy,0
 Patty Murray (D) ,Policy,0
 Rand Paul (R) ,Policy,12274
 Richard Blumenthal (D) ,Policy,0
 Richard Burr (R) ,Policy,861
 Richard C Shelby (R) ,Policy,-1139
 Rob Portman (R) ,Policy,18823
 Robert Menendez (D) ,Policy,337478
 Roger Wicker (R) ,Policy,494831
 Ron Johnson (R) ,Policy,20961
 Ron Wyden (D) ,Policy,1000
 Sheldon Whitehouse (D) ,Policy,302100
 Shelley Moore Capito (R) ,Policy,4361
 Sherrod Brown (D) ,Policy,588615
 Steven Daines (R) ,Policy,9398
 Susan Collins (R) ,Policy,70991
 Tammy Baldwin (D) ,Policy,4799224
 Tammy Duckworth (D) ,Policy,42409
 Ted Cruz (R) ,Policy,395500
 Thom Tillis (R) ,Policy,12861
 Tim Kaine (D) ,Policy,575265
 Tim Scott (R) ,Policy,11861
 Tina Smith (D) ,Policy,350800
 Todd Young (R) ,Policy,13361
 Tom Carper (D) ,Policy,229900
 Tom Cotton (R) ,Policy,13261
 Tom Udall (D) ,Policy,2500
 Amy Klobuchar (D) ,Legal,88023
 Angus King (I) ,Legal,31231
 Ben Cardin (D) ,Legal,48468
 Ben Sasse (R) ,Legal,7250
 Bernie Sanders (I) ,Legal,0
 Bill Cassidy (R) ,Legal,33000
 Bill Nelson (D) ,Legal,113884
 Bob Casey (D) ,Legal,129660
 Bob Corker (R) ,Legal,22000
 Brian Schatz (D) ,Legal,10000
 Catherine Cortez Masto (D) ,Legal,8541
 Charles E Schumer (D) ,Legal,0
 Chris Coons (D) ,Legal,19500
 Chris Van Hollen (D) ,Legal,1500
 Christopher S Murphy (D) ,Legal,42750
 Chuck Grassley (R) ,Legal,7500
 Cindy Hyde-Smith (R) ,Legal,19558
 Claire McCaskill (D) ,Legal,84150
 Cory Booker (D) ,Legal,5000
 Cory Gardner (R) ,Legal,10500
 Dan Sullivan (R) ,Legal,12152
 David Perdue (R) ,Legal,11000
 Dean Heller (R) ,Legal,78950
 Deb Fischer (R) ,Legal,63623
 Debbie Stabenow (D) ,Legal,81950
 Dianne Feinstein (D) ,Legal,69250
 Dick Durbin (D) ,Legal,11000
 Doug Jones (D) ,Legal,46500
 Ed Markey (D) ,Legal,27590
 Elizabeth Warren (D) ,Legal,9000
 Gary Peters (D) ,Legal,22000
 Heidi Heitkamp (D) ,Legal,87919
 Jack Reed (D) ,Legal,3000
 James E Risch (R) ,Legal,2000
 James Lankford (R) ,Legal,8250
 James M Inhofe (R) ,Legal,10000
 Jeanne Shaheen (D) ,Legal,7000
 Jeff Flake (R) ,Legal,50075
 Jeff Merkley (D) ,Legal,2500
 Jerry Moran (R) ,Legal,6500
 Joe Donnelly (D) ,Legal,103706
 Joe Manchin (D) ,Legal,84000
 John A Barrasso (R) ,Legal,84000
 John Boozman (R) ,Legal,3500
 John Cornyn (R) ,Legal,21950
 John Hoeven (R) ,Legal,1000
 John Kennedy (R) ,Legal,37594
 John Thune (R) ,Legal,14000
 Johnny Isakson (R) ,Legal,9500
 Jon Tester (D) ,Legal,87862
 Joni Ernst (R) ,Legal,14000
 Kamala D Harris (D) ,Legal,12500
 Kirsten Gillibrand (D) ,Legal,34808
 Lamar Alexander (R) ,Legal,12000
 Lindsey Graham (R) ,Legal,23500
 Lisa Murkowski (R) ,Legal,29500
 Maggie Hassan (D) ,Legal,1250
 Marco Rubio (R) ,Legal,12500
 Maria Cantwell (D) ,Legal,-250
 Mark Warner (D) ,Legal,17500
 Martin Heinrich (D) ,Legal,84500
 Mazie K Hirono (D) ,Legal,35800
 Michael F Bennet (D) ,Legal,8500
 Mike Crapo (R) ,Legal,19150
 Mike Enzi (R) ,Legal,1000
 Mike Lee (R) ,Legal,3500
 Mike Rounds (R) ,Legal,4500
 Mitch McConnell (R) ,Legal,15500
 Orrin G Hatch (R) ,Legal,44880
 Pat Roberts (R) ,Legal,7000
 Pat Toomey (R) ,Legal,33465
 Patrick Leahy (D) ,Legal,9500
 Patty Murray (D) ,Legal,12600
 Rand Paul (R) ,Legal,1000
 Richard Blumenthal (D) ,Legal,8250
 Richard Burr (R) ,Legal,0
 Richard C Shelby (R) ,Legal,5000
 Rob Portman (R) ,Legal,15250
 Robert Menendez (D) ,Legal,75500
 Roger Wicker (R) ,Legal,85500
 Ron Johnson (R) ,Legal,9000
 Ron Wyden (D) ,Legal,8500
 Sheldon Whitehouse (D) ,Legal,60165
 Shelley Moore Capito (R) ,Legal,16500
 Sherrod Brown (D) ,Legal,79200
 Steven Daines (R) ,Legal,3500
 Susan Collins (R) ,Legal,13000
 Tammy Baldwin (D) ,Legal,41900
 Tammy Duckworth (D) ,Legal,7750
 Ted Cruz (R) ,Legal,16500
 Thom Tillis (R) ,Legal,18250
 Tim Kaine (D) ,Legal,117950
 Tim Scott (R) ,Legal,15250
 Tina Smith (D) ,Legal,44500
 Todd Young (R) ,Legal,9250
 Tom Carper (D) ,Legal,46950
 Tom Cotton (R) ,Legal,13000
 Tom Udall (D) ,Legal,1000
 Amy Klobuchar (D) ,Unions,110500
 Angus King (I) ,Unions,104000
 Ben Cardin (D) ,Unions,119000
 Ben Sasse (R) ,Unions,2000
 Bernie Sanders (I) ,Unions,21100
 Bill Cassidy (R) ,Unions,1000
 Bill Nelson (D) ,Unions,1202966
 Bob Casey (D) ,Unions,150000
 Bob Corker (R) ,Unions,3500
 Brian Schatz (D) ,Unions,31000
 Catherine Cortez Masto (D) ,Unions,4750
 Charles E Schumer (D) ,Unions,1000
 Chris Coons (D) ,Unions,2500
 Chris Van Hollen (D) ,Unions,0
 Christopher S Murphy (D) ,Unions,87000
 Chuck Grassley (R) ,Unions,1000
 Cindy Hyde-Smith (R) ,Unions,4000
 Claire McCaskill (D) ,Unions,177500
 Cory Booker (D) ,Unions,10500
 Cory Gardner (R) ,Unions,1000
 Dan Sullivan (R) ,Unions,11000
 David Perdue (R) ,Unions,4500
 Dean Heller (R) ,Unions,22000
 Deb Fischer (R) ,Unions,44083
 Debbie Stabenow (D) ,Unions,121000
 Dianne Feinstein (D) ,Unions,43000
 Dick Durbin (D) ,Unions,15500
 Doug Jones (D) ,Unions,148918
 Ed Markey (D) ,Unions,50500
 Elizabeth Warren (D) ,Unions,121275
 Gary Peters (D) ,Unions,14000
 Heidi Heitkamp (D) ,Unions,139500
 Jack Reed (D) ,Unions,16750
 James E Risch (R) ,Unions,0
 James Lankford (R) ,Unions,21000
 James M Inhofe (R) ,Unions,9500
 Jeanne Shaheen (D) ,Unions,19250
 Jeff Flake (R) ,Unions,1000
 Jeff Merkley (D) ,Unions,6500
 Jerry Moran (R) ,Unions,9000
 Joe Donnelly (D) ,Unions,149250
 Joe Manchin (D) ,Unions,125000
 John A Barrasso (R) ,Unions,5000
 John Boozman (R) ,Unions,3500
 John Cornyn (R) ,Unions,1000
 John Hoeven (R) ,Unions,3500
 John Kennedy (R) ,Unions,7000
 John Thune (R) ,Unions,12000
 Johnny Isakson (R) ,Unions,6000
 Jon Tester (D) ,Unions,119000
 Joni Ernst (R) ,Unions,2000
 Kamala D Harris (D) ,Unions,3000
 Kirsten Gillibrand (D) ,Unions,57000
 Lamar Alexander (R) ,Unions,2500
 Lindsey Graham (R) ,Unions,6200
 Lisa Murkowski (R) ,Unions,18000
 Maggie Hassan (D) ,Unions,8000
 Marco Rubio (R) ,Unions,14500
 Maria Cantwell (D) ,Unions,22000
 Mark Warner (D) ,Unions,6500
 Martin Heinrich (D) ,Unions,101762
 Mazie K Hirono (D) ,Unions,121639
 Michael F Bennet (D) ,Unions,1000
 Mike Crapo (R) ,Unions,3500
 Mike Enzi (R) ,Unions,0
 Mike Lee (R) ,Unions,2000
 Mike Rounds (R) ,Unions,6000
 Mitch McConnell (R) ,Unions,8700
 Orrin G Hatch (R) ,Unions,7500
 Pat Roberts (R) ,Unions,1000
 Pat Toomey (R) ,Unions,5500
 Patrick Leahy (D) ,Unions,4500
 Patty Murray (D) ,Unions,21510
 Rand Paul (R) ,Unions,0
 Richard Blumenthal (D) ,Unions,7000
 Richard Burr (R) ,Unions,0
 Richard C Shelby (R) ,Unions,0
 Rob Portman (R) ,Unions,6500
 Robert Menendez (D) ,Unions,80400
 Roger Wicker (R) ,Unions,27000
 Ron Johnson (R) ,Unions,21000
 Ron Wyden (D) ,Unions,1500
 Sheldon Whitehouse (D) ,Unions,69150
 Shelley Moore Capito (R) ,Unions,14500
 Sherrod Brown (D) ,Unions,188649
 Steven Daines (R) ,Unions,5500
 Susan Collins (R) ,Unions,11500
 Tammy Baldwin (D) ,Unions,164750
 Tammy Duckworth (D) ,Unions,27750
 Ted Cruz (R) ,Unions,6500
 Thom Tillis (R) ,Unions,1000
 Tim Kaine (D) ,Unions,112100
 Tim Scott (R) ,Unions,5500
 Tina Smith (D) ,Unions,108000
 Todd Young (R) ,Unions,0
 Tom Carper (D) ,Unions,32000
 Tom Cotton (R) ,Unions,0
 Tom Udall (D) ,Unions,3000
 Amy Klobuchar (D) ,Mfg,21000
 Angus King (I) ,Mfg,9000
 Ben Cardin (D) ,Mfg,21500
 Ben Sasse (R) ,Mfg,1000
 Bernie Sanders (I) ,Mfg,0
 Bill Cassidy (R) ,Mfg,20500
 Bill Nelson (D) ,Mfg,25500
 Bob Casey (D) ,Mfg,67500
 Bob Corker (R) ,Mfg,19500
 Brian Schatz (D) ,Mfg,0
 Catherine Cortez Masto (D) ,Mfg,0
 Charles E Schumer (D) ,Mfg,2000
 Chris Coons (D) ,Mfg,7000
 Chris Van Hollen (D) ,Mfg,0
 Christopher S Murphy (D) ,Mfg,31500
 Chuck Grassley (R) ,Mfg,2000
 Cindy Hyde-Smith (R) ,Mfg,10000
 Claire McCaskill (D) ,Mfg,34500
 Cory Booker (D) ,Mfg,4000
 Cory Gardner (R) ,Mfg,11000
 Dan Sullivan (R) ,Mfg,0
 David Perdue (R) ,Mfg,5000
 Dean Heller (R) ,Mfg,623539
 Deb Fischer (R) ,Mfg,46500
 Debbie Stabenow (D) ,Mfg,613900
 Dianne Feinstein (D) ,Mfg,35000
 Dick Durbin (D) ,Mfg,9000
 Doug Jones (D) ,Mfg,0
 Ed Markey (D) ,Mfg,7000
 Elizabeth Warren (D) ,Mfg,0
 Gary Peters (D) ,Mfg,3000
 Heidi Heitkamp (D) ,Mfg,200300
 Jack Reed (D) ,Mfg,0
 James E Risch (R) ,Mfg,6668
 James Lankford (R) ,Mfg,10500
 James M Inhofe (R) ,Mfg,17451
 Jeanne Shaheen (D) ,Mfg,4500
 Jeff Flake (R) ,Mfg,17500
 Jeff Merkley (D) ,Mfg,0
 Jerry Moran (R) ,Mfg,11000
 Joe Donnelly (D) ,Mfg,49500
 Joe Manchin (D) ,Mfg,254500
 John A Barrasso (R) ,Mfg,270904
 John Boozman (R) ,Mfg,5500
 John Cornyn (R) ,Mfg,41000
 John Hoeven (R) ,Mfg,7750
 John Kennedy (R) ,Mfg,10000
 John Thune (R) ,Mfg,15000
 Johnny Isakson (R) ,Mfg,23000
 Jon Tester (D) ,Mfg,12000
 Joni Ernst (R) ,Mfg,18000
 Kamala D Harris (D) ,Mfg,1666
 Kirsten Gillibrand (D) ,Mfg,8000
 Lamar Alexander (R) ,Mfg,10500
 Lindsey Graham (R) ,Mfg,9500
 Lisa Murkowski (R) ,Mfg,12166
 Maggie Hassan (D) ,Mfg,2500
 Marco Rubio (R) ,Mfg,4000
 Maria Cantwell (D) ,Mfg,0
 Mark Warner (D) ,Mfg,12500
 Martin Heinrich (D) ,Mfg,18000
 Mazie K Hirono (D) ,Mfg,1000
 Michael F Bennet (D) ,Mfg,-2000
 Mike Crapo (R) ,Mfg,18582
 Mike Enzi (R) ,Mfg,11000
 Mike Lee (R) ,Mfg,2300
 Mike Rounds (R) ,Mfg,21348
 Mitch McConnell (R) ,Mfg,19200
 Orrin G Hatch (R) ,Mfg,42075
 Pat Roberts (R) ,Mfg,3000
 Pat Toomey (R) ,Mfg,34166
 Patrick Leahy (D) ,Mfg,1000
 Patty Murray (D) ,Mfg,6000
 Rand Paul (R) ,Mfg,0
 Richard Blumenthal (D) ,Mfg,4000
 Richard Burr (R) ,Mfg,2500
 Richard C Shelby (R) ,Mfg,0
 Rob Portman (R) ,Mfg,49666
 Robert Menendez (D) ,Mfg,17000
 Roger Wicker (R) ,Mfg,29000
 Ron Johnson (R) ,Mfg,24500
 Ron Wyden (D) ,Mfg,7000
 Sheldon Whitehouse (D) ,Mfg,8000
 Shelley Moore Capito (R) ,Mfg,21000
 Sherrod Brown (D) ,Mfg,53500
 Steven Daines (R) ,Mfg,3500
 Susan Collins (R) ,Mfg,6000
 Tammy Baldwin (D) ,Mfg,41900
 Tammy Duckworth (D) ,Mfg,5000
 Ted Cruz (R) ,Mfg,30000
 Thom Tillis (R) ,Mfg,21000
 Tim Kaine (D) ,Mfg,16500
 Tim Scott (R) ,Mfg,24000
 Tina Smith (D) ,Mfg,12000
 Todd Young (R) ,Mfg,10500
 Tom Carper (D) ,Mfg,71210
 Tom Cotton (R) ,Mfg,3500
 Tom Udall (D) ,Mfg,5000
 Amy Klobuchar (D) ,Transport,144400
 Angus King (I) ,Transport,32000
 Ben Cardin (D) ,Transport,56500
 Ben Sasse (R) ,Transport,12500
 Bernie Sanders (I) ,Transport,0
 Bill Cassidy (R) ,Transport,51100
 Bill Nelson (D) ,Transport,176000
 Bob Casey (D) ,Transport,77700
 Bob Corker (R) ,Transport,21000
 Brian Schatz (D) ,Transport,46200
 Catherine Cortez Masto (D) ,Transport,20000
 Charles E Schumer (D) ,Transport,500
 Chris Coons (D) ,Transport,3500
 Chris Van Hollen (D) ,Transport,1000
 Christopher S Murphy (D) ,Transport,44500
 Chuck Grassley (R) ,Transport,4000
 Cindy Hyde-Smith (R) ,Transport,58000
 Claire McCaskill (D) ,Transport,80499
 Cory Booker (D) ,Transport,11500
 Cory Gardner (R) ,Transport,34500
 Dan Sullivan (R) ,Transport,55000
 David Perdue (R) ,Transport,29500
 Dean Heller (R) ,Transport,232625
 Deb Fischer (R) ,Transport,180499
 Debbie Stabenow (D) ,Transport,59940
 Dianne Feinstein (D) ,Transport,58000
 Dick Durbin (D) ,Transport,18500
 Doug Jones (D) ,Transport,24500
 Ed Markey (D) ,Transport,20000
 Elizabeth Warren (D) ,Transport,0
 Gary Peters (D) ,Transport,28499
 Heidi Heitkamp (D) ,Transport,65500
 Jack Reed (D) ,Transport,19000
 James E Risch (R) ,Transport,10000
 James Lankford (R) ,Transport,14500
 James M Inhofe (R) ,Transport,68000
 Jeanne Shaheen (D) ,Transport,18000
 Jeff Flake (R) ,Transport,60000
 Jeff Merkley (D) ,Transport,2500
 Jerry Moran (R) ,Transport,24500
 Joe Donnelly (D) ,Transport,67500
 Joe Manchin (D) ,Transport,69000
 John A Barrasso (R) ,Transport,175470
 John Boozman (R) ,Transport,5500
 John Cornyn (R) ,Transport,62000
 John Hoeven (R) ,Transport,1500
 John Kennedy (R) ,Transport,38200
 John Thune (R) ,Transport,86495
 Johnny Isakson (R) ,Transport,17500
 Jon Tester (D) ,Transport,106500
 Joni Ernst (R) ,Transport,23000
 Kamala D Harris (D) ,Transport,1000
 Kirsten Gillibrand (D) ,Transport,8500
 Lamar Alexander (R) ,Transport,9000
 Lindsey Graham (R) ,Transport,29800
 Lisa Murkowski (R) ,Transport,17500
 Maggie Hassan (D) ,Transport,7500
 Marco Rubio (R) ,Transport,35500
 Maria Cantwell (D) ,Transport,1000
 Mark Warner (D) ,Transport,33000
 Martin Heinrich (D) ,Transport,55500
 Mazie K Hirono (D) ,Transport,59700
 Michael F Bennet (D) ,Transport,0
 Mike Crapo (R) ,Transport,28245
 Mike Enzi (R) ,Transport,2000
 Mike Lee (R) ,Transport,9500
 Mike Rounds (R) ,Transport,22500
 Mitch McConnell (R) ,Transport,50000
 Orrin G Hatch (R) ,Transport,63600
 Pat Roberts (R) ,Transport,7000
 Pat Toomey (R) ,Transport,14700
 Patrick Leahy (D) ,Transport,3000
 Patty Murray (D) ,Transport,10000
 Rand Paul (R) ,Transport,-6500
 Richard Blumenthal (D) ,Transport,1000
 Richard Burr (R) ,Transport,2000
 Richard C Shelby (R) ,Transport,5000
 Rob Portman (R) ,Transport,15700
 Robert Menendez (D) ,Transport,20500
 Roger Wicker (R) ,Transport,212738
 Ron Johnson (R) ,Transport,61500
 Ron Wyden (D) ,Transport,20410
 Sheldon Whitehouse (D) ,Transport,23000
 Shelley Moore Capito (R) ,Transport,35000
 Sherrod Brown (D) ,Transport,25250
 Steven Daines (R) ,Transport,22000
 Susan Collins (R) ,Transport,45500
 Tammy Baldwin (D) ,Transport,57500
 Tammy Duckworth (D) ,Transport,18500
 Ted Cruz (R) ,Transport,140998
 Thom Tillis (R) ,Transport,15500
 Tim Kaine (D) ,Transport,71500
 Tim Scott (R) ,Transport,26500
 Tina Smith (D) ,Transport,14000
 Todd Young (R) ,Transport,59000
 Tom Carper (D) ,Transport,84910
 Tom Cotton (R) ,Transport,14500
 Tom Udall (D) ,Transport,10000
 Amy Klobuchar (D) ,Govt/NGO,0
 Angus King (I) ,Govt/NGO,0
 Ben Cardin (D) ,Govt/NGO,8000
 Ben Sasse (R) ,Govt/NGO,0
 Bernie Sanders (I) ,Govt/NGO,0
 Bill Cassidy (R) ,Govt/NGO,1000
 Bill Nelson (D) ,Govt/NGO,2000
 Bob Casey (D) ,Govt/NGO,2000
 Bob Corker (R) ,Govt/NGO,0
 Brian Schatz (D) ,Govt/NGO,0
 Catherine Cortez Masto (D) ,Govt/NGO,0
 Charles E Schumer (D) ,Govt/NGO,1000
 Chris Coons (D) ,Govt/NGO,0
 Chris Van Hollen (D) ,Govt/NGO,1000
 Christopher S Murphy (D) ,Govt/NGO,0
 Chuck Grassley (R) ,Govt/NGO,0
 Cindy Hyde-Smith (R) ,Govt/NGO,0
 Claire McCaskill (D) ,Govt/NGO,5000
 Cory Booker (D) ,Govt/NGO,0
 Cory Gardner (R) ,Govt/NGO,0
 Dan Sullivan (R) ,Govt/NGO,0
 David Perdue (R) ,Govt/NGO,1000
 Dean Heller (R) ,Govt/NGO,10000
 Deb Fischer (R) ,Govt/NGO,3000
 Debbie Stabenow (D) ,Govt/NGO,8000
 Dianne Feinstein (D) ,Govt/NGO,0
 Dick Durbin (D) ,Govt/NGO,0
 Doug Jones (D) ,Govt/NGO,1000
 Ed Markey (D) ,Govt/NGO,0
 Elizabeth Warren (D) ,Govt/NGO,0
 Gary Peters (D) ,Govt/NGO,0
 Heidi Heitkamp (D) ,Govt/NGO,3500
 Jack Reed (D) ,Govt/NGO,0
 James E Risch (R) ,Govt/NGO,0
 James Lankford (R) ,Govt/NGO,1000
 James M Inhofe (R) ,Govt/NGO,0
 Jeanne Shaheen (D) ,Govt/NGO,0
 Jeff Flake (R) ,Govt/NGO,0
 Jeff Merkley (D) ,Govt/NGO,0
 Jerry Moran (R) ,Govt/NGO,1000
 Joe Donnelly (D) ,Govt/NGO,0
 Joe Manchin (D) ,Govt/NGO,0
 John A Barrasso (R) ,Govt/NGO,0
 John Boozman (R) ,Govt/NGO,0
 John Cornyn (R) ,Govt/NGO,1000
 John Hoeven (R) ,Govt/NGO,1000
 John Kennedy (R) ,Govt/NGO,1000
 John Thune (R) ,Govt/NGO,1000
 Johnny Isakson (R) ,Govt/NGO,0
 Jon Tester (D) ,Govt/NGO,0
 Joni Ernst (R) ,Govt/NGO,0
 Kamala D Harris (D) ,Govt/NGO,0
 Kirsten Gillibrand (D) ,Govt/NGO,0
 Lamar Alexander (R) ,Govt/NGO,3000
 Lindsey Graham (R) ,Govt/NGO,0
 Lisa Murkowski (R) ,Govt/NGO,0
 Maggie Hassan (D) ,Govt/NGO,0
 Marco Rubio (R) ,Govt/NGO,0
 Maria Cantwell (D) ,Govt/NGO,0
 Mark Warner (D) ,Govt/NGO,1000
 Martin Heinrich (D) ,Govt/NGO,3500
 Mazie K Hirono (D) ,Govt/NGO,0
 Michael F Bennet (D) ,Govt/NGO,2000
 Mike Crapo (R) ,Govt/NGO,0
 Mike Enzi (R) ,Govt/NGO,0
 Mike Lee (R) ,Govt/NGO,0
 Mike Rounds (R) ,Govt/NGO,0
 Mitch McConnell (R) ,Govt/NGO,0
 Orrin G Hatch (R) ,Govt/NGO,0
 Pat Roberts (R) ,Govt/NGO,1000
 Pat Toomey (R) ,Govt/NGO,0
 Patrick Leahy (D) ,Govt/NGO,0
 Patty Murray (D) ,Govt/NGO,3000
 Rand Paul (R) ,Govt/NGO,0
 Richard Blumenthal (D) ,Govt/NGO,1000
 Richard Burr (R) ,Govt/NGO,2500
 Richard C Shelby (R) ,Govt/NGO,0
 Rob Portman (R) ,Govt/NGO,0
 Robert Menendez (D) ,Govt/NGO,0
 Roger Wicker (R) ,Govt/NGO,6000
 Ron Johnson (R) ,Govt/NGO,0
 Ron Wyden (D) ,Govt/NGO,0
 Sheldon Whitehouse (D) ,Govt/NGO,0
 Shelley Moore Capito (R) ,Govt/NGO,1000
 Sherrod Brown (D) ,Govt/NGO,1000
 Steven Daines (R) ,Govt/NGO,0
 Susan Collins (R) ,Govt/NGO,1000
 Tammy Baldwin (D) ,Govt/NGO,2000
 Tammy Duckworth (D) ,Govt/NGO,0
 Ted Cruz (R) ,Govt/NGO,0
 Thom Tillis (R) ,Govt/NGO,1000
